# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-a" "/home/yc1201/rnaseq_ypd1/reference/genomic.gtf" "-t" "exon" "-g" "gene_id" "-o" "/home/yc1201/rnaseq_ypd1/results/counts/candida_counts_matrix.txt" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_1_WT1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_2_WT2_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_3_kcs1-1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_4_kcs1-2_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_5_vip1-1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_6_vip1-2_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_7_dbl-1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_8_dbl-2_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_1_WT1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_2_WT2_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_3_kcs1-1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_4_kcs1-2_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_5_vip1-1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_6_vip1-2_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_7_dbl-1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_8_dbl-2_Aligned.sortedByCoord.out.bam
CAALFM_C100020CA	NC_032089.1	4409	4720	-	312	765	749	673	610	829	805	781	628
CAALFM_C100030CA	NC_032089.1	8597	8908	-	312	16	6	15	16	21	13	13	19
CAALFM_C100040WA	NC_032089.1	10718	11485	+	768	404	418	423	350	588	730	745	746
CAALFM_C100060WA	NC_032089.1	12163	13701	+	1539	4171	4266	4440	4303	5776	5368	5315	4996
CAALFM_C100070WA	NC_032089.1;NC_032089.1	13778;13868	13816;14917	+;+	1089	4344	5087	5159	4903	6278	6056	6280	5846
CAALFM_C100080CA	NC_032089.1	14910	15761	-	852	1591	1558	1419	1662	1496	1309	1406	1416
CAALFM_C100090WA	NC_032089.1	15595	16116	+	522	1	2	5	9	8	7	2	0
CAALFM_C100100CA	NC_032089.1	16600	17328	-	729	1489	1632	1643	1506	1670	1705	1745	1614
CAALFM_C100110WA	NC_032089.1	17338	18960	+	1623	6107	6167	5895	5856	5936	5667	7151	6213
CAALFM_C100120CA	NC_032089.1	18948	19628	-	681	1304	1434	1381	1243	1695	1537	1753	1535
CAALFM_C100130CA	NC_032089.1	19615	21714	-	2100	858	882	883	847	870	967	785	783
CAALFM_C100140WA	NC_032089.1	22270	25326	+	3057	769	776	832	842	960	921	806	730
CAALFM_C100150CA	NC_032089.1	25381	27249	-	1869	158	152	253	324	561	532	226	231
CAALFM_C100160CA	NC_032089.1	28286	29488	-	1203	18352	18828	18033	20098	16184	14156	18022	15973
CAALFM_C100170WA	NC_032089.1	29804	31543	+	1740	1990	1891	1995	1956	1769	1761	1707	1572
CAALFM_C100180WA	NC_032089.1	31842	32444	+	603	89673	93431	89387	90769	79337	72868	100162	89031
CAALFM_C100190CA	NC_032089.1	32680	33318	-	639	179	227	626	635	911	950	239	239
CAALFM_C100200CA	NC_032089.1	34099	34446	-	348	201	138	156	129	161	166	115	126
CAALFM_C100210CA	NC_032089.1	34525	35679	-	1155	1016	978	820	808	847	711	774	709
CAALFM_C100220WA	NC_032089.1	37851	39485	+	1635	10059	10581	12040	10749	12676	11663	12186	11026
CAALFM_C100230CA	NC_032089.1	40484	41770	-	1287	578	576	839	853	924	948	581	439
CAALFM_C100240CA	NC_032089.1	42100	42172	-	73	12	10	26	41	46	47	4	1
CAALFM_C100270WA	NC_032089.1	42605	43504	+	900	2	4	25	19	64	71	6	4
CAALFM_C100280CA	NC_032089.1	43549	43679	-	131	0	0	0	0	0	0	0	0
CAALFM_C100290WA	NC_032089.1	43803	45764	+	1962	110	194	106	56	296	283	289	334
CAALFM_C100310WA	NC_032089.1	46803	48359	+	1557	347	355	505	422	990	909	610	489
CAALFM_C100320WA	NC_032089.1	48513	49298	+	786	573	547	542	462	708	663	578	517
CAALFM_C100330CA	NC_032089.1	49295	49843	-	549	1195	1264	1140	1017	1132	1138	1242	1344
CAALFM_C100340WA	NC_032089.1	49997	50743	+	747	1994	2139	2244	2054	1706	1765	2291	2165
CAALFM_C100350CA	NC_032089.1	50806	51681	-	876	3499	3732	4915	4894	12653	14096	2760	2785
CAALFM_C100360WA	NC_032089.1	53099	54442	+	1344	277	258	301	277	491	443	368	336
CAALFM_C100370WA	NC_032089.1	54558	54842	+	285	169	181	198	195	253	222	159	132
CAALFM_C100380CA	NC_032089.1	54837	57074	-	2238	1153	1241	1282	1184	1270	1396	1432	1304
CAALFM_C100390WA	NC_032089.1	59349	62552	+	3204	1749	1830	2101	2062	2799	2739	884	731
CAALFM_C100400WA	NC_032089.1	63202	64350	+	1149	218	289	260	260	274	245	309	306
CAALFM_C100410CA	NC_032089.1	64696	66324	-	1629	1769	1763	1606	1705	2562	2507	2046	1901
CAALFM_C100420WA	NC_032089.1	67843	68814	+	972	1087	1177	1112	970	872	944	735	773
CAALFM_C100430WA	NC_032089.1	69226	70902	+	1677	480	447	527	484	530	494	490	431
CAALFM_C100440WA	NC_032089.1;NC_032089.1	71068;71158	71080;72581	+;+	1437	3079	3078	3041	2819	3533	3652	2589	2477
CAALFM_C100450CA	NC_032089.1;NC_032089.1	72741;73182	73091;73283	-;-	453	3163	3722	3568	3441	3424	3146	4155	3992
CAALFM_C100460WA	NC_032089.1	73580	73900	+	321	489	488	524	503	342	309	569	530
CAALFM_C100470CA	NC_032089.1	74056	75381	-	1326	270	282	266	322	331	385	275	258
CAALFM_C100480CA	NC_032089.1	75573	77828	-	2256	3846	4108	4030	4141	3992	3810	4436	4000
CAALFM_C100490CA	NC_032089.1	78008	78367	-	360	4465	4456	4461	4472	8035	8746	4582	4490
CAALFM_C100500CA	NC_032089.1	78641	79669	-	1029	4424	4907	4913	4711	6461	7309	6289	5916
CAALFM_C100510WA	NC_032089.1	80124	81053	+	930	1063	1127	1128	1182	1249	1271	1144	1105
CAALFM_C100520WA	NC_032089.1	81233	81901	+	669	532	555	541	565	697	703	700	604
CAALFM_C100530CA	NC_032089.1	82117	84558	-	2442	411	429	465	439	578	493	388	386
CAALFM_C100540CA	NC_032089.1	85080	87248	-	2169	741	723	795	1033	978	1112	889	838
CAALFM_C100550WA	NC_032089.1	87900	89810	+	1911	108	115	172	149	181	178	152	134
CAALFM_C100560WA	NC_032089.1	90099	91271	+	1173	2256	2837	2683	2676	2591	2683	2885	2735
CAALFM_C100570CA	NC_032089.1	91310	93694	-	2385	224	216	334	338	501	398	174	190
CAALFM_C100580WA	NC_032089.1	93970	94899	+	930	29	32	36	28	33	32	24	21
CAALFM_C100590WA	NC_032089.1	95214	96494	+	1281	14339	15000	14779	14634	10381	9395	15566	14048
CAALFM_C100600WA	NC_032089.1	96816	101423	+	4608	265	241	370	327	452	402	325	291
CAALFM_C100610WA	NC_032089.1	101751	103523	+	1773	1638	1773	1753	1732	1780	1554	1301	1397
CAALFM_C100620WA	NC_032089.1	103868	104809	+	942	432	491	491	402	550	559	482	413
CAALFM_C100630WA	NC_032089.1	105179	106924	+	1746	112	96	129	115	171	138	75	56
CAALFM_C100640CA	NC_032089.1	107125	111027	-	3903	2507	2708	3254	3732	3855	3431	2546	2379
CAALFM_C100650CA	NC_032089.1	111571	112251	-	681	1414	1562	1531	1455	2054	1892	1720	1507
CAALFM_C100660CA	NC_032089.1	112788	113801	-	1014	1672	1548	1565	1446	1704	1909	1642	1705
CAALFM_C100670CA	NC_032089.1	114127	115878	-	1752	176	193	226	183	340	419	215	189
CAALFM_C100680WA	NC_032089.1	117319	119442	+	2124	328	254	424	365	370	355	223	279
CAALFM_C100690WA	NC_032089.1	119767	122808	+	3042	410	451	488	423	415	409	461	402
CAALFM_C100700WA	NC_032089.1	123066	123431	+	366	657	728	624	640	522	549	758	745
CAALFM_C100710CA	NC_032089.1;NC_032089.1;NC_032089.1	123869;125335;125586	125170;125370;125597	-;-;-	1350	996	973	960	922	938	960	978	910
CAALFM_C100720WA	NC_032089.1;NC_032089.1	126521;126577	126556;126612	+;+	72	4	6	10	7	36	54	5	3
CAALFM_C100730CA	NC_032089.1	126791	128620	-	1830	249	305	329	309	304	269	265	276
CAALFM_C100740CA	NC_032089.1	129260	130681	-	1422	4073	4287	4853	4483	5585	5810	5029	4535
CAALFM_C100750CA	NC_032089.1	131413	133938	-	2526	844	736	872	761	1042	926	608	598
CAALFM_C100760WA	NC_032089.1	134254	134913	+	660	919	948	937	759	1206	1074	1044	901
CAALFM_C100770CA	NC_032089.1	135654	136436	-	783	94	129	104	123	89	103	88	92
CAALFM_C100780CA	NC_032089.1	138574	140931	-	2358	67	104	199	214	454	465	113	125
CAALFM_C100790WA	NC_032089.1	150607	151707	+	1101	37	41	36	28	46	39	29	32
CAALFM_C100800CA	NC_032089.1	154633	155286	-	654	1045	1107	1148	1025	905	953	1303	1216
CAALFM_C100810WA	NC_032089.1	155443	156324	+	882	191	205	193	217	178	208	200	247
CAALFM_C100820WA	NC_032089.1	156643	157689	+	1047	117	82	117	103	96	98	108	103
CAALFM_C100830WA	NC_032089.1	158725	160524	+	1800	156	192	192	171	173	181	147	144
CAALFM_C100840CA	NC_032089.1	160942	162672	-	1731	235	199	175	181	210	193	236	206
CAALFM_C100850WA	NC_032089.1	167077	167823	+	747	48	97	70	51	129	84	74	82
CAALFM_C100860WA	NC_032089.1	168533	169534	+	1002	348	331	383	308	454	593	316	313
CAALFM_C100870WA	NC_032089.1	170158	172254	+	2097	378	400	560	461	488	485	487	533
CAALFM_C100880WA	NC_032089.1	174459	176084	+	1626	83	59	60	58	27	41	37	37
CAALFM_C100890WA	NC_032089.1	176325	178475	+	2151	706	691	643	592	501	453	532	603
CAALFM_C100900WA	NC_032089.1	178690	179307	+	618	2223	2451	2756	2714	2610	2952	2317	2064
CAALFM_C100910WA	NC_032089.1;NC_032089.1;NC_032089.1;NC_032089.1	179823;179946;180129;180645	179870;180041;180558;180829	+;+;+;+	759	271	307	319	393	460	515	267	364
