! File name: C_albicans_SC5314_version_A22-s08-m01-r36_chromosomal_feature.tab
! Organism: Candida albicans SC5314
! Genome version: A22-s08-m01-r36
! Date created: Sun Jul 19 04:00:05 2026
! Created by: The Candida Genome Database (http://www.candidagenome.org/)
! Contact Email: candida-curator AT lists DOT stanford DOT edu
! Funding: NIDCR at US NIH, grant number 1-R01-DE015873-01
!
RDN1	RDN1		multigene locus					CAL0006672		Region of approximately 700 kb on Chr R consisting of about 55 copies of a 12 kb rDNA repeat that contains genes for 18S, 5.8S, 25S, and 5S ribosomal RNA	2004-10-25	2004-10-25				N	
C1_00010W_A		orf19.13534|IPF21113.1|IPF27828.1|CaO19.11880|CaO19.4402|CaO19.6115|CaO19.13534|orf19.6115|C1_00010W_B|C1_00010W	ORF|Dubious	Ca22chr1A_C_albicans_SC5314	4059	4397	W	CAL0000182519		Dubious open reading frame	2014-06-24	2014-06-24				N	
C1_00020C_A		orf19.13533|IPF21135.1|IPF27840.1|orf6.6227|CaO19.13533|CaO19.6114|orf19.6114|C1_00020C_B|C1_00020C|CAWG_03102	ORF|Uncharacterized	Ca22chr1A_C_albicans_SC5314	4720	4409	C	CAL0000184345		Protein of unknown function; transcript detected on high-resolution tiling arrays	2014-06-24	2014-06-24				N	
C1_00030C_A		orf19.13532|IPF21132.1|IPF10769.1|orf6.6228|CaO19.6113|CaO19.13532|orf19.6113|C1_00030C_B|C1_00030C	ORF|Uncharacterized	Ca22chr1A_C_albicans_SC5314	8908	8597	C	CAL0000177679		Protein of unknown function; transcript detected on high-resolution tiling arrays	2014-06-24	2014-06-24				N	
C1_00040W_A	CTA2	orf19.13531|IPF21081.1|IPF10779.1|orf6.6229|CA3851|CTA21|TLO3|CTA210|CaO19.6112|CaO19.13531|orf19.6112|C1_00040W_B|C1_00040W|CAWG_01362	ORF|Verified	Ca22chr1A_C_albicans_SC5314	10718	11485	W	CAL0000191731		Putative transcription factor; Med2 mediator domain; activates transcription in 1-hybrid assay in S. cerevisiae; repressed by Efg1; member of a family of telomere-proximal genes; Tbf1-induced	2014-06-24	2014-06-24				N	
C1_00050C_A		orf19.13529|IPF21110.1|IPF10780.2|Contig4-1846_0001|orf6.6231|CaO19.13529|CaO19.6110|orf19.6110|C1_00050C_B|C1_00050C|CAWG_01361	ORF|Dubious	Ca22chr1A_C_albicans_SC5314	11995	11648	C	CAL0000182943		Ortholog of <i>Candida albicans WO-1</i> : CAWG_01361	2014-06-24	2014-06-24				N	
C1_00060W_A	TUP1	orf19.13528|IPF21053.1|IPF4657.2|orf6.6232|CA3852|CaO19.6109|CaO19.13528|orf19.6109|C1_00060W_B|C1_00060W|CAWG_01360	ORF|Verified	Ca22chr1A_C_albicans_SC5314	12163	13701	W	CAL0000186393		Transcriptional corepressor; represses filamentous growth; regulates switching; role in germ tube induction, farnesol response; in repression pathways with Nrg1, Rfg1; farnesol upregulated in biofilm; rat catheter, Spider biofilm repressed	2014-06-24	2014-06-24				N	
C1_00070W_A	MVD	orf19.13524|MVD1|IPF4647.2|IPF4652.1|Contig4-2342_0002|orf6.6236|CA3853|MVD1.3|orf19.6105|C1_00070W_B|C1_00070W|CAWG_01359	ORF|Verified	Ca22chr1A_C_albicans_SC5314	13778	14917	W	CAL0000181620		Mevalonate diphosphate decarboxylase; functional homolog of S. cerevisiae Erg19; possible drug target; regulated by carbon source, yeast-hypha switch, growth phase, antifungals; gene has intron; rat catheter, Spider biofilm repressed	2014-06-24	2014-06-24				N	
C1_00090W_A		orf19.13522|IPF21098.1|IPF4645.1|Contig4-2342_0005|orf6.6238|CA3855|CaO19.6103|CaO19.13522|IPF4645|orf19.6103|C1_00090W_B|C1_00090W|CAWG_01357	ORF|Uncharacterized	Ca22chr1A_C_albicans_SC5314	15595	16116	W	CAL0000185968		Ortholog(s) have role in ascospore formation, ascospore wall assembly, ascospore-type prospore membrane formation and cytosol, prospore membrane localization	2014-06-24	2014-06-24				N	
C1_00080C_A	RCA1	orf19.13521|IPF21080.1|IPF4649.1|Contig4-2342_0004|orf6.6239|CA3854|CaO19.6102|CST6|CaO19.13521|IPF4649|orf19.6102|C1_00080C_B|C1_00080C|CAWG_01358	ORF|Verified	Ca22chr1A_C_albicans_SC5314	15761	14910	C	CAL0000191329		Protein involved in regulation of carbonic anhydrases; controls CO2 sensing; bZIP domain-containing transcription factor of the ATF/CREB family; null mutant displays slow growth, abnormal colony morphology and invasive growth	2014-06-24	2014-06-24				N	
